"participant","stimulus_audio","length_audio","stimulus_picture","response_time","accuracy","accuracy_num","condition","congruency","category"
"1419","blaubeere_correct",1300,"Blaubeere",1962,"correct","1","FPM","congruent","Fruechte"
"1419","maurerkelle_word",1120,"Maurerkelle",697,"correct","1","WPM","congruent","Werkzeug"
"1419","walze_correct",1360,"Walze",912,"correct","1","FPM","congruent","Werkzeug"
"1419","sofa_incorrect",1220,"Sofa",1258,"correct","1","FPM","incongruent","Moebel"
"1419","socke_incorrect",1100,"Socke",1746,"correct","1","FPM","incongruent","Kleidung"
"1419","orange_word",1110,"Orange",579,"correct","1","WPM","congruent","Fruechte"
"1419","adler_incorrect",870,"Adler",1247,"correct","1","FPM","incongruent","Voegel"
"1419","fuchs_incorrect",1230,"Fuchs",1767,"correct","1","FPM","incongruent","Saeugetiere"
"1419","weintraube_correct",950,"Weintraube",1101,"correct","1","FPM","congruent","Fruechte"
"1419","bohrmaschine_incorrect",1300,"Bohrmaschine",922,"correct","1","FPM","incongruent","Werkzeug"
"1419","saege_word",1320,"Saege",773,"correct","1","WPM","congruent","Werkzeug"
"1419","hemd_word",820,"Hemd",1087,"correct","1","WPM","congruent","Kleidung"
"1419","faehre_word",950,"Kutsche",1110,"correct","1","WPM","incongruent","Fortbewegungsmittel"
"1419","elster_incorrect",1230,"Elster",1843,"incorrect","0","FPM","incongruent","Voegel"
"1419","walze_word",1080,"Sichel",1245,"correct","1","WPM","incongruent","Werkzeug"
"1419","baer_correct",1240,"Baer",1542,"correct","1","FPM","congruent","Saeugetiere"
"1419","zitrone_word",1210,"Zitrone",806,"correct","1","WPM","congruent","Fruechte"
"1419","schleifpapier_word",1220,"Schraubenzieher",627,"correct","1","WPM","incongruent","Werkzeug"
"1419","kohlrabi_correct",1290,"Kohlrabi",1065,"incorrect","0","FPM","congruent","Gemuese"
"1419","biber_correct",1160,"Biber",2309,"incorrect","0","FPM","congruent","Saeugetiere"
"1419","fahrrad_word",1000,"Fahrrad",916,"correct","1","WPM","congruent","Fortbewegungsmittel"
"1419","kleid_word",1440,"Kleid",686,"correct","1","WPM","congruent","Kleidung"
"1419","fledermaus_word",1060,"Fledermaus",830,"correct","1","WPM","congruent","Saeugetiere"
"1419","weintraube_word",1190,"Kokosnuss",620,"correct","1","WPM","incongruent","Fruechte"
"1419","sichel_correct",1170,"Sichel",1405,"incorrect","0","FPM","congruent","Werkzeug"
"1419","blaubeere_word",990,"Birne",812,"correct","1","WPM","incongruent","Fruechte"
"1419","schiff_word",1400,"Traktor",709,"correct","1","WPM","incongruent","Fortbewegungsmittel"
"1419","zwiebel_incorrect",1410,"Zwiebel",648,"correct","1","FPM","incongruent","Gemuese"
"1419","kamel_correct",1510,"Kamel",1354,"correct","1","FPM","congruent","Saeugetiere"
"1419","banane_incorrect",1190,"Banane",782,"correct","1","FPM","incongruent","Fruechte"
"1419","bluse_word",930,"Hose",1951,"correct","1","WPM","incongruent","Kleidung"
"1419","meissel_correct",1390,"Meissel",1027,"correct","1","FPM","congruent","Werkzeug"
"1419","ziege_incorrect",1130,"Ziege",739,"correct","1","FPM","incongruent","Saeugetiere"
"1419","wellensittich_word",1450,"Wellensittich",1151,"correct","1","WPM","congruent","Voegel"
"1419","wiege_incorrect",1190,"Wiege",1332,"correct","1","FPM","incongruent","Moebel"
"1419","hose_correct",1040,"Hose",984,"incorrect","0","FPM","congruent","Kleidung"
"1419","sessel_word",1040,"Schrank",1054,"correct","1","WPM","incongruent","Moebel"
"1419","bluse_correct",1110,"Bluse",1281,"correct","1","FPM","congruent","Kleidung"
"1419","drehstuhl_incorrect",960,"Drehstuhl",1015,"correct","1","FPM","incongruent","Moebel"
"1419","axt_incorrect",1030,"Axt",1050,"correct","1","FPM","incongruent","Werkzeug"
"1419","tisch_incorrect",960,"Tisch",742,"correct","1","FPM","incongruent","Moebel"
"1419","pullover_word",1290,"Schlafanzug",811,"correct","1","WPM","incongruent","Kleidung"
"1419","aprikose_incorrect",1040,"Aprikose",1202,"correct","1","FPM","incongruent","Fruechte"
"1419","schleifpapier_correct",1110,"Schleifpapier",2619,"correct","1","FPM","congruent","Werkzeug"
"1419","lama_word",940,"Baer",1889,"correct","1","WPM","incongruent","Saeugetiere"
"1419","harke_word",1020,"Harke",957,"incorrect","0","WPM","congruent","Werkzeug"
"1419","schlitten_word",1380,"Taxi",535,"incorrect","0","WPM","incongruent","Fortbewegungsmittel"
"1419","tiger_word",1460,"Bueffel",772,"correct","1","WPM","incongruent","Saeugetiere"
"1419","kutsche_word",1080,"Faehre",751,"correct","1","WPM","incongruent","Fortbewegungsmittel"
"1419","bank_word",1310,"Kommode",599,"correct","1","WPM","incongruent","Moebel"
"1419","zug_incorrect",1320,"Zug",563,"correct","1","FPM","incongruent","Fortbewegungsmittel"
"1419","birne_correct",1240,"Birne",728,"incorrect","0","FPM","congruent","Fruechte"
